Date,Open,High,Low,Close,Volume,Value,Frequency
2020-01-02,0,240,236,238,3.323.600,789.137.000,647
2020-01-03,0,240,236,236,15.815.400,3.751.160.600,1.071
2020-01-06,0,236,232,234,3.246.300,759.807.800,400
2020-01-07,0,238,232,236,3.340.600,783.695.400,554
2020-01-08,0,236,230,232,2.501.900,581.224.600,457
2020-01-09,0,236,230,234,4.490.100,1.039.827.000,1.3
2020-01-10,0,236,232,234,13.398.500,3.132.553.600,562
2020-01-13,0,248,232,246,27.439.200,6.649.311.000,2.047
2020-01-14,0,250,244,246,16.779.300,4.153.427.000,1.655
2020-01-15,0,246,240,242,5.060.300,1.226.407.400,500
2020-01-16,0,242,234,236,9.474.600,2.251.024.000,740
2020-01-17,0,240,232,234,8.423.100,1.982.487.400,414
2020-01-20,0,238,230,230,3.471.900,805.470.800,309
2020-01-21,0,230,218,218,21.386.800,4.742.308.400,1.065
2020-01-22,0,220,212,212,4.811.000,1.040.756.000,593
2020-01-23,0,216,210,212,6.542.800,1.398.284.600,451
2020-01-24,0,218,212,212,3.271.400,701.116.800,326
2020-01-27,0,216,210,212,9.689.900,2.066.058.200,576
2020-01-28,0,216,208,212,7.252.200,1.538.208.000,669
2020-01-29,0,216,208,210,12.363.400,2.606.476.000,991
2020-01-30,0,214,204,206,6.709.600,1.391.355.400,453
2020-01-31,0,208,198,198,8.545.000,1.712.400.400,790
2020-02-03,0,199,180,186,15.133.600,2.839.006.300,1.356
2020-02-04,0,190,185,185,10.564.000,1.968.934.300,528
2020-02-05,0,189,185,189,3.913.600,733.490.100,452
2020-02-06,0,197,188,196,4.825.500,938.985.000,506
2020-02-07,0,198,190,191,3.395.400,652.137.700,491
2020-02-10,0,192,184,185,4.633.000,859.629.300,956
2020-02-11,0,187,183,186,4.488.600,830.454.300,644
2020-02-12,0,186,176,177,6.825.800,1.224.039.100,870
2020-02-13,0,179,168,170,6.115.500,1.042.443.500,578
2020-02-14,0,173,167,170,6.679.500,1.128.060.400,475
2020-02-17,0,176,168,174,4.320.300,748.850.800,412
2020-02-18,0,181,174,177,9.783.900,1.741.317.100,764
2020-02-19,0,184,177,180,6.698.300,1.210.424.600,654
2020-02-20,0,184,177,177,3.063.000,548.634.100,270
2020-02-21,0,178,174,175,4.343.300,761.021.600,590
2020-02-24,0,177,170,173,3.846.800,667.639.100,520
2020-02-25,0,174,163,172,4.412.900,745.718.800,653
2020-02-26,0,173,166,169,4.091.500,690.154.300,739
2020-02-27,0,169,156,156,8.627.300,1.382.353.000,1.314
2020-02-28,0,152,134,152,28.255.900,3.990.665.600,1.713
2020-03-02,0,157,140,145,7.784.700,1.132.103.900,1.247
2020-03-03,0,152,139,142,12.809.000,1.858.102.900,896
2020-03-04,0,158,139,157,11.480.000,1.727.232.800,1.44
2020-03-05,0,164,153,157,4.299.000,678.471.800,593
2020-03-06,0,154,150,153,4.535.700,691.504.400,499
2020-03-09,0,153,142,142,10.537.800,1.530.936.200,788
2020-03-10,0,153,140,151,4.366.200,634.743.300,698
2020-03-11,0,152,139,151,7.806.200,1.122.615.800,770
2020-03-12,0,151,136,150,24.005.300,3.514.828.700,872
2020-03-13,0,150,140,140,5.158.100,724.116.600,800
2020-03-16,0,140,131,133,8.026.700,1.058.707.400,489
2020-03-17,0,134,124,124,4.562.300,566.755.100,719
2020-03-18,0,124,116,116,5.475.700,639.003.900,503
2020-03-19,0,110,108,108,694.4,75.000.800,120
2020-03-20,0,107,101,101,30.593.700,3.092.073.800,1.148
2020-03-23,0,101,94,94,8.700.300,819.602.000,306
2020-03-24,0,97,88,92,11.718.900,1.081.825.500,1.328
2020-03-26,0,108,87,105,22.240.000,2.264.439.100,1.849
2020-03-27,0,121,110,114,14.675.600,1.702.382.600,977
2020-03-30,0,114,107,107,2.679.500,287.425.700,330
2020-03-31,0,112,100,104,8.476.500,892.644.600,916
2020-04-01,0,109,101,104,7.037.600,732.205.200,881
2020-04-02,0,115,101,105,8.899.600,952.911.600,1.021
2020-04-03,0,111,106,110,12.441.100,1.361.911.700,642
2020-04-06,0,135,110,134,28.715.100,3.527.765.300,1.908
2020-04-07,0,144,125,125,70.091.700,8.965.684.200,2.691
2020-04-08,0,126,117,117,25.297.500,2.976.652.300,1.08
2020-04-09,0,120,109,119,33.615.800,3.856.741.500,1.542
2020-04-13,0,122,111,115,30.636.800,3.506.781.000,1.445
2020-04-14,0,126,114,125,31.745.600,3.845.191.700,2.064
2020-04-15,0,128,117,118,23.611.100,2.846.316.000,1.338
2020-04-16,0,118,111,112,11.026.700,1.250.253.200,1.348
2020-04-17,0,118,114,116,11.614.800,1.347.772.000,1.239
2020-04-20,0,117,112,114,5.914.400,680.703.900,542
2020-04-21,0,114,107,108,12.263.200,1.338.230.200,899
2020-04-22,0,111,103,110,4.454.900,477.273.800,584
2020-04-23,0,116,109,114,7.370.300,831.711.600,607
2020-04-24,0,119,111,112,11.416.100,1.306.589.800,791
2020-04-27,0,117,111,114,6.376.700,721.835.300,487
2020-04-28,0,116,112,113,6.762.100,769.202.600,399
2020-04-29,0,115,112,114,5.475.700,620.724.600,391
2020-04-30,0,122,115,118,25.665.500,3.037.980.400,2.047
2020-05-04,0,118,113,113,9.022.400,1.026.618.600,740
2020-05-05,0,117,113,115,4.713.400,539.762.900,525
2020-05-06,0,118,114,117,5.076.600,585.189.000,633
2020-05-08,0,119,116,116,5.968.300,700.779.400,1.218
2020-05-11,0,121,116,118,10.494.100,1.246.881.200,588
2020-05-12,0,123,114,114,17.849.100,2.078.925.800,1.076
2020-05-13,0,116,111,115,5.184.200,590.174.200,580
2020-05-14,0,116,111,112,5.989.000,678.285.100,446
2020-05-15,0,114,110,111,9.522.600,1.061.750.900,626
2020-05-18,0,112,105,106,15.135.000,1.615.588.400,1.11
2020-05-19,0,111,106,108,7.218.500,788.251.600,455
2020-05-20,0,109,106,107,6.336.900,678.369.700,616
2020-05-26,0,113,105,111,42.488.200,4.615.972.000,1.182
2020-05-27,0,117,109,113,106.920.900,12.100.243.100,1.979
2020-05-28,0,115,112,112,45.400.800,5.133.014.600,1.549
2020-05-29,0,115,106,106,143.873.900,15.355.779.000,1.206
2020-06-02,0,112,106,110,31.169.600,3.430.725.300,1.78
2020-06-03,0,122,111,120,135.126.900,15.931.599.100,3.511
2020-06-04,0,127,118,119,141.205.400,17.347.070.800,3.244
2020-06-05,0,135,118,133,141.417.600,18.090.461.600,3.305
2020-06-08,0,176,136,152,237.395.800,35.920.131.700,7.73
2020-06-09,0,162,142,142,139.452.800,21.039.962.700,4.721
2020-06-10,0,147,133,134,82.022.100,11.227.735.300,3.125
2020-06-11,0,137,126,128,56.017.300,7.313.785.300,2.019
2020-06-12,0,131,120,129,68.010.500,8.571.509.800,2.07
2020-06-15,0,135,125,125,50.346.900,6.524.983.000,2.018
2020-06-16,0,141,128,138,155.843.900,21.368.062.900,5.765
2020-06-17,0,142,136,138,91.933.800,12.746.198.900,3.075
2020-06-18,0,148,135,145,180.574.800,25.925.004.800,5.959
2020-06-19,0,147,138,138,82.369.400,11.647.816.800,3.927
2020-06-22,0,140,133,135,34.839.800,4.735.533.600,1.63
2020-06-23,0,138,128,131,58.966.900,7.738.753.000,2.158
2020-06-24,0,135,131,133,33.253.300,4.456.216.900,1.439
2020-06-25,0,138,129,130,85.452.300,11.284.242.000,2.757
2020-06-26,0,135,129,129,58.094.900,7.591.752.400,2.033
2020-06-29,0,132,128,130,30.043.200,3.903.414.000,1.631
2020-06-30,0,133,128,129,26.509.800,3.452.585.700,1.261
2020-07-01,0,131,125,128,25.908.800,3.293.463.400,1.48
2020-07-02,0,131,125,131,56.711.300,7.296.591.400,1.655
2020-07-03,0,135,127,128,72.525.200,9.483.506.500,2.328
2020-07-06,0,131,126,129,23.806.800,3.077.131.100,996
2020-07-07,0,130,128,128,22.591.400,2.905.351.900,1.055
2020-07-08,0,133,126,132,61.136.300,8.015.779.100,2.014
2020-07-09,0,136,130,131,88.797.800,11.782.686.600,2.31
2020-07-10,0,135,129,130,54.124.200,7.048.449.000,1.234
2020-07-13,0,132,129,131,26.926.500,3.510.729.900,1.064
2020-07-14,0,132,129,129,28.317.800,3.671.494.100,977
2020-07-15,0,138,129,138,207.199.900,27.805.337.100,4.548
2020-07-16,0,141,132,134,132.395.700,17.906.533.800,3.439
2020-07-17,0,136,130,134,45.932.700,6.104.090.400,1.366
2020-07-20,0,138,130,131,192.171.200,25.598.834.400,5.596
